Date,Equity
19741202,88283.05015876499
19741203,87186.34559276499
19741204,86996.24929476499
19741205,84804.73632876498
19741206,82065.80339432499
19741209,82552.00282532499
19741210,84317.02288732499
19741211,85146.77129332499
19741212,84826.80237932499
19741213,83936.14341332499
19741216,83089.80511732498
19741217,84202.15661932499
19741218,86324.91991976499
19741219,86180.61930276499
19741220,84834.19442876498
19741223,83912.73247076498
19741224,84886.03547276498
19741226,85441.53733776498
19741227,84697.213567765
19741230,84682.99590676499
19741231,87015.26469376498
19750102,89443.56823076498
19750103,90348.704541765
19750106,91278.17511276499
19750107,91215.63416976499
19750108,89896.84066976499
19750109,91379.42678276499
19750110,91660.92523487599
19750113,90603.37086387599
19750114,89338.60383987598
19750115,90663.403045876
19750116,90731.09321987598
19750117,89146.05731487599
19750120,89936.68915487599
19750121,89687.638662876
19750122,90969.59756087599
19750123,91580.98879987598
19750124,93052.617711876
19750127,98099.603777876
19750128,98909.621044876
19750129,100034.95182287598
19750130,98718.85137687599
19750131,100144.09821737598
19750203,103310.66862537598
19750204,102440.33311837599
19750205,104514.767152376
19750206,104129.75215137599
19750207,104352.886398376
19750210,104021.46731537598
19750211,103511.23723937599
19750212,105234.28782237599
19750213,107076.46548137598
19750214,107450.96325737599
19750218,106198.88215837599
19750219,107161.45285637598
19750220,108210.81797937599
19750221,108508.39271937599
19750224,107709.538463376
19750225,105441.34458637598
19750226,106084.48402837598
19750227,107509.121367876
19750228,108704.19663637599
19750303,111332.151687376
19750304,112474.28282087599
19750305,112052.38613587599
19750306,113818.11072687598
19750307,115969.33981687599
19750310,116378.46329987599
19750311,115428.25739187599
19750312,113815.10541037598
19750313,114539.67917187598
19750314,115555.012136876
19750317,117545.376670876
19750318,116521.458709876
19750319,115498.47399987599
19750320,115141.87915087599
19750321,115190.91781387599
19750324,112254.349564876
19750325,113102.030392876
19750326,116219.37997637599
19750327,116411.20130737599
19750331,116053.20285337599
19750401,115298.45779137599
19750402,115242.12770037599
19750403,114835.765252876
19750404,114995.72109487599
19750407,114713.660454876
19750408,114856.593763876
19750409,117881.40735287599
19750410,117609.14199737099
19750411,118542.79929837098
19750414,120402.37213637099
19750415,121389.53706937098
19750416,121764.63495577099
19750417,122868.284051271
19750418,122274.853760271
19750421,123977.90949227099
19750422,122829.84312187099
19750423,121300.84377937099
19750424,121496.174135371
19750425,122886.19821827099
19750428,122253.490382771
19750429,121309.69279377098
19750430,123696.407457771
19750501,124974.430030771
19750502,127073.62964027098
19750505,127762.79680077099
19750506,125285.31948337099
19750507,126406.33075737099
19750508,127542.67841277098
19750509,129364.75233527098
19750512,128486.03725677099
19750513,130653.67381247098
19750514,131435.295756471
19750515,130429.62561247099
19750516,128909.80186547099
19750519,129567.31876447098
19750520,128579.32522797098
19750521,126539.23060277099
19750522,126994.28956397099
19750523,128483.32088097099
19750527,129771.16421097098
19750528,127080.813166771
19750529,126983.00818377099
19750530,129685.442934971
19750602,131645.46097497098
19750603,133718.430465971
19750604,133100.923924971
19750605,133403.638356971
19750606,133298.646222971
19750609,131616.840762771
19750610,130388.917723771
19750611,129424.26803577099
19750612,129966.44849477099
19750613,131184.60255477097
19750616,132856.363281771
19750617,132082.117193771
19750618,132399.52033277098
19750619,134481.919096771
19750620,135437.350662471
19750623,137249.457742971
19750624,137928.862705971
19750625,138640.533162371
19750626,138106.870919971
19750627,137967.87188097098
19750630,138787.964470971
19750701,137129.188681771
19750702,135638.115105771
19750703,135793.43749977098
19750707,134023.091262771
19750708,133709.48190977098
19750709,136938.078510371
19750710,135176.953973488
19750711,135628.523472488
19750714,136057.924866688
19750715,136096.193691488
19750716,134971.062704488
19750717,134180.10435348802
19750718,133841.690642488
19750721,133162.530595488
19750722,131723.638903888
19750723,129954.806384888
19750724,129405.287624888
19750725,127916.417069688
19750728,127276.91467388801
19750729,126972.237247888
19750730,127675.498689688
19750731,127807.84267968801
19750801,125621.234572788
19750804,124615.497016788
19750805,124207.905903388
19750806,124822.656734388
19750807,124955.690360388
19750808,124463.61929138801
19750811,124930.10613738801
19750812,125762.849624388
19750813,124236.376434388
19750814,123415.886624388
19750815,125008.341687388
19750818,124111.70823738801
19750819,121348.87755688801
19750820,119219.02425988801
19750821,119580.509950388
19750822,121426.30013538801
19750825,122640.221577388
19750826,120888.20592338801
19750827,121547.19921538801
19750828,124532.974497588
19750829,125244.14210418801
19750902,122317.972210088
19750903,123995.99071618801
19750904,124582.771994188
19750905,123747.78381858801
19750908,124643.941615188
19750909,122251.015915088
19750910,121446.971095588
19750911,121032.751778388
19750912,120484.119992388
19750915,119870.920968388
19750916,118974.662292388
19750917,119750.07221758801
